Name,Municipality,County,Address,Student body count,Latitude,Longitude
Kambo skole,Moss,Østfold,"Skolebakken 4, 1538 MOSS",598,59.4686921,10.6918028
Kirkelund skole,Skiptvet,Østfold,"Sundåsveien 11, 1816 SKIPTVET",53,59.4704944,11.1735639
Holmestrand Internasjonale Montessoriskole,Holmestrand,Vestfold,"Eikelund 5, 3080 HOLMESTRAND",4,59.4767334,10.3210707
Marker skole,Marker,Østfold,"Haldenveien 18, 1870 ØRJE",31,59.476868,11.6570864
Valestrand Oppvekstsenter - Avdeling skule,Sveio,Hordaland,"Tittelsnesvegen 732, 5554 VALEVÅG",1,59.4772534,5.3044789
Ekeberg skole,Holmestrand,Vestfold,"Hvittingfossveien 59, 3080 HOLMESTRAND",64,59.4802017,10.3084009
Gjøklep ungdomsskole,Holmestrand,Vestfold,"Vesthøyveien 7 A, 3080 HOLMESTRAND",6,59.4837372,10.3015959
Gausetangen skole,Holmestrand,Vestfold,"Næskilds Gate 2, 3080 HOLMESTRAND",64,59.4854133,10.3229919
Seljord ungdomsskule,Seljord,Telemark,"Brøløsvegen, 3840 SELJORD",95,59.4863598,8.6324079
Hvittingfoss barne- og ungdomsskole,Kongsberg,Buskerud,"Bjørkhaugen 16, 3647 HVITTINGFOSS",7,59.489489,10.0107831
Vinjar skule,Suldal,Rogaland,"4237, SULDALSOSEN  ",6,59.4923494,6.5166278
Sand skule,Suldal,Rogaland,,187,59.4924288,6.2535513
Botne skole,Holmestrand,Vestfold,"Gurannveien 25 B, 3080 HOLMESTRAND",39,59.4968098,10.2567256
Vikedal skule,Vindagjord ,Rogaland,,,59.4980786,5.9038688
Høydalsmo skule,Tokke,Telemark,"Eidsborgvegen 1795, 3891 HØYDALSMO",4,59.4983494,8.1947736
Brevik skole,Vestby,Akershus,"Falkeveien 24, 1555 SON",307,59.5037115,10.6878576
Skjold skule,Vindagjord ,Rogaland,,,59.5067467,5.591872
Hillestad skole,Holmestrand,Vestfold,"Hvittingfossveien 299, 3080 HOLMESTRAND",64,59.5094038,10.1985599
Trømborg skole,Eidsberg,Østfold,"Kildeveien 6, 1850 MYSEN",60,59.5095741,11.3587531
Kleiverud skole,Holmestrand,Vestfold,"Kleiverudveien 199, 3080 HOLMESTRAND",15,59.5115699,10.282005
Hjuksebø skole,Sauherad,Telemark,"Breisetvegen 46, 3683 NOTODDEN",77,59.5155632,9.3936658
Hølen skole,Vestby,Akershus,"Sonsveien 33, 1555 SON",414,59.5202481,10.6985091
Grevlingen skole,Vestby,Akershus,"Sonsveien 55, 1555 SON",97,59.5202481,10.6985091
Solhøy skole,Vestby,Akershus,,,59.5216615,10.6884949
Kirkefjerdingen skole,Eidsberg,Østfold,"Folkenborgveien 481, 1880 EIDSBERG",18,59.5248148,11.2648432
Stiftelsen for Vammen Montessori skole,Sande,Vestfold,"Vammenveien 2, 3070 SANDE I VESTFOLD",15,59.5346028,10.346165
Hovin skole,Spydeberg,Østfold,"Lyserenveien 4, 1820 SPYDEBERG",282,59.5368519,11.0447892
Hof skole,Hof,Vestfold,"Lindsetveien 1, 3090 HOF",22,59.5378656,10.0760215
Sandeid skule,Vindagjord ,Rogaland,,,59.5411805,5.8703132
Tofte skole,Hurum,Buskerud,"Skoledalen 7, 3482 TOFTE",142,59.542083,10.5546757
Lid skule,Sveio,Hordaland,"Bråtveit, 5550 SVEIO",4,59.5440294,5.4163665
Vanvik skule,Suldal,Rogaland,"4209, VANVIK  ",12,59.5472799,6.3624841
Tveiten skole,Notodden,Telemark,"Jonas Lies Gate 27, 3683 NOTODDEN",14,59.5479982,9.2834525
Berger skole,Svelvik,Vestfold,"Tyriveien 1, 3075 BERGER",15,59.5485157,10.3868598
Hurum ungdomsskole,Hurum,Buskerud,"Skoledalen 89, 3482 TOFTE",168,59.549044,10.5630233
Eidsberg ungdomsskole,Eidsberg,Østfold,"Hegginveien 19, 1850 MYSEN",18,59.5499062,11.3342775
Hærland skole,Eidsberg,Østfold,"Sloraveien 24, 1878 HÆRLAND",5,59.5501075,11.4248539
Folkestad skole,Hurum,Buskerud,"Folkestadveien 4, 3483 KANA",20,59.5511883,10.4644358
Ringvoll skole,Hobøl,Østfold,"Trollveien 16, 1827 HOBØL",69,59.5561711,10.8452111
Selvik skole,Sande,Vestfold,"Sandebuktveien 163, 3070 SANDE I VESTFOLD",29,59.556907,10.279832
Mysen skole,Eidsberg,Østfold,"Abc Veien 30, 1850 MYSEN",64,59.557172,11.3283093
Fjellgardane skule,Bykle,Aust-Agder,"4755, HOVDEN I SETESDAL  ",49,59.5585415,7.3586932
Bykle barne- og ungdomsskule,Bykle,Aust-Agder,"4754, BYKLE  ",9,59.5585415,7.3586932
Flatdal skule,Seljord,Telemark,"Flatdalsvegen 1135, 3841 FLATDAL",10,59.5607411,8.5719273
Yli skole,Notodden,Telemark,"Nordre Vestsidaveg 6, 3677 NOTODDEN",25,59.5621908,9.1908424
Høgås skole,Notodden,Telemark,"Høgåstunet 2, 3684 NOTODDEN",25,59.562848,9.3029813
Åmotsdal skule,Seljord,Telemark,"Åmotsdalsvegen 1255, 3841 FLATDAL",5,59.5673711,8.531304
Heddal ungdomsskole,Notodden,Telemark,"Rogneståvegen 6, 3676 NOTODDEN",51,59.5684166,9.2125393
Moen skole,Askim,Østfold,"Vammaveien 151, 1815 ASKIM",46,59.568542,11.1648728
Sætre skole,Notodden,Telemark,"Fridtjof Nansens Gate 41, 3679 NOTODDEN",25,59.5699264,9.2723038
Notodden ungdomsskole,Notodden,Telemark,"Fridtjof Nansens Gate 43, 3679 NOTODDEN",92,59.5707289,9.2719119
Tinnesmoen skole,Notodden,Telemark,"Langkåsveien 14, 3675 NOTODDEN",10,59.5710795,9.2596985
Filtvet skole,Hurum,Buskerud,"Filtvetveien 2, 3480 FILTVET",64,59.5715282,10.593208
Sveio skule,Sveio,Hordaland,"5550, SVEIO  ",17,59.5715738,5.3209404
Vikse skule,Sveio,Hordaland,"Gullvegen 213, 5550 SVEIO",8,59.5715738,5.3209404
Spydeberg skole,Spydeberg,Østfold,"Heliveien 241, 1820 SPYDEBERG",37,59.5720827,11.0864274
Øyfjell Oppvekstsenter avd skule,Vinje,Telemark,"Øyfjell, 3890 VINJE",15,59.5743149,8.1858896
Åmot skule,Vinje,Telemark,"Raulandsvegen 58, 3890 VINJE",22,59.5763596,7.9890503
Tenor skole,Eidsberg,Østfold,"Tenorveien 24, 1859 SLITU",64,59.5776586,11.259568
Løken ungdomsskole,Askim,Østfold,"Sommerrogata 9, 1813 ASKIM",38,59.5794108,11.1693236
Garder skole,Vestby,Akershus,"Garder, 1540 VESTBY",414,59.5811183,10.8093566
Rygi skole,Notodden,Telemark,"Heddalsvegen 447, 3676 NOTODDEN",25,59.5811299,9.1702288
Askimbyen skole,Askim,Østfold,"Skolegata 36, 1831 ASKIM",,59.5837484,11.156888
Sande ungdomsskole,Sande,Vestfold,"Skolegata 14, 3070 SANDE I VESTFOLD",280,59.5862546,10.2135551
Haga skole,Sande,Vestfold,"Skolegata 8, 3070 SANDE I VESTFOLD",175,59.5868058,10.2120702
Grøtvedt skole,Askim,Østfold,"Museumsveien 26, 1809 ASKIM",44,59.589018,11.178027
Korsgård skole,Askim,Østfold,"Korsegårdveien 84, 1812 ASKIM",43,59.5891422,11.1964064
Eid skole,Askim,Østfold,"Museumsveien 23, 1807 ASKIM",15,59.590559,11.174796
Rom skole,Askim,Østfold,"Gramveien 63, 1832 ASKIM",16,59.5907752,11.1292587
Espevær skule,Bømlo,Hordaland,"5444, ESPEVÆR  ",19,59.5913707,5.1511092
Vestby skole,Vestby,Akershus,"Solerunden 20, 1540 VESTBY",414,59.5963319,10.7537
Risil ungdomsskole,Vestby,Akershus,"Risilveien 85, 1540 VESTBY",414,59.5973583,10.7088968
Bjørlien skole,Vestby,Akershus,"Risilveien 71, 1540 VESTBY",316,59.597519,10.7093201
Lisleherad skole,Notodden,Telemark,"Bjarne Hansens Vei 22, 3680 NOTODDEN",2,59.5978574,9.2728945
Nordbygda skole,Notodden,Telemark,"Nørstrudvegen 12, 3677 NOTODDEN",11,59.6000592,9.0929185
Hjartdal skule - Avd Kyrkjekrinsen,Hjartdal,Telemark,"Hjartdal, 3690 HJARTDAL",37,59.6041023,8.6395397
Svelvik ungdomsskole,Svelvik,Vestfold,"Storgaten 122, 3060 SVELVIK",146,59.6052663,10.4055283
Tømmerås skole,Svelvik,Vestfold,"Åsgaten 26, 3060 SVELVIK",32,59.6059973,10.4030045
Førde skule,Sveio,Hordaland,"5555, FØRDE I HORDALAND  ",185,59.6097386,5.4815885
Havnås Oppvekstsenter - Avdeling skole,Trøgstad,Østfold,"Havnås, 1860 TRØGSTAD",39,59.6173038,11.4101823
Spydeberg ungdomsskole,Spydeberg,Østfold,"Griniveien 16, 1820 SPYDEBERG",30,59.6177832,11.0851892
Vinje Oppvekstsenter avd skule,Vinje,Telemark,"Øyfjell, 3890 VINJE",,59.6201306,8.0025356
Sauland skule,Hjartdal,Telemark,"Sauland, 3692 SAULAND",37,59.6205858,8.9277642
Efteløt skole,Kongsberg,Buskerud,"Efteløt, 3618 SKOLLENBORG",8,59.6219009,9.6933352
Hobøl ungdomsskole,Hobøl,Østfold,"Skoleveien 15, 1823 KNAPSTAD",38,59.6242403,11.0246279
Knapstad skole,Hobøl,Østfold,"Skoleveien 17, 1823 KNAPSTAD",75,59.6244167,11.0246968
Galleberg skole,Sande,Vestfold,"Gallebergveien 140, 3070 SANDE I VESTFOLD",,59.6265733,10.2145267
Ebbestad skole,Svelvik,Vestfold,"Markveien 32, 3060 SVELVIK",20,59.6268888,10.3961994
Kongsgårdmoen skole,Kongsberg,Buskerud,"Fleischers Vei 4, 3615 KONGSBERG",221,59.6273219,9.6448656
Skrim ungdomsskole,Kongsberg,Buskerud,"Fleischers Vei 12, 3615 KONGSBERG",108,59.6274487,9.6457755
Rudolf Steinerskolen i Hurum,Hurum,Buskerud,"Åsheimveien 10, 3490 KLOKKARSTUA",13,59.632797,10.4954948
Hillestveit skule,Bømlo,Hordaland,"5443, BØMLO  ",17,59.6350416,5.1794908
Kroer skole,Ås,Akershus,"Vollholen 39, 1430 ÅS",422,59.6377212,10.8546943
Trøgstad ungdomsskole,Trøgstad,Østfold,"Idrettsveien 10, 1860 TRØGSTAD",51,59.6396618,11.3207776
Skjønhaug skole,Trøgstad,Østfold,"Skoleveien 7, 1860 TRØGSTAD",13,59.6424134,11.313117
Risvoll skule,Sauda,Rogaland,"Saudasjøen, 4208 SAUDASJØEN",12,59.6430326,6.3073017
Auklandshamn skule,Sveio,Hordaland,"Stølen, 5551 AUKLANDSHAMN",,59.6442318,5.3858769
Nesflaten skule,Suldal,Rogaland,"4244, NESFLATEN  ",17,59.6462077,6.8040179
Kjeldås skole,Sande,Vestfold,"Kjeldåsgata 8, 3070 SANDE I VESTFOLD",20,59.6508476,10.2374987
Gamlegrendåsen skole,Kongsberg,Buskerud,"Christian Sindings Vei 25, 3610 KONGSBERG",221,59.6513055,9.6658931
Sauda ungdomsskule,Sauda,Rogaland,"Rådhusgata 47, 4200 SAUDA",214,59.6519854,6.3550519
Wennersborg skole,Kongsberg,Buskerud,"Gesellveien 5, 3616 KONGSBERG",221,59.6528645,9.6390821
Fløgstad skule,Sauda,Rogaland,"Kongsveien 48, 4200 SAUDA",13,59.6542985,6.362325
Enge skule,Etne,Hordaland,"Enge, 5590 ETNE",30,59.6547544,6.0674128
Sogsti skole,Frogn,Akershus,"Ekesvingen 30, 1440 DRØBAK",51,59.654815,10.6429352
Tomter skole,Hobøl,Østfold,"Engen 4, 1825 TOMTER",13,59.6575657,11.0037699
Austarheim skule,Sauda,Rogaland,"Rustå 31, 4200 SAUDA",214,59.6580275,6.3807294
Tislegård ungdomsskole,Kongsberg,Buskerud,"Tislegårdveien 11, 3616 KONGSBERG",183,59.6594501,9.6560838
Åsgård skole,Ås,Akershus,"Skoleveien, 1430 ÅS",422,59.6632465,10.788783
Brønnerud skole,Ås,Akershus,"Drøbakveien 63, 1430 ÅS",53,59.6636073,10.7511911
Drøbak Montessori skole,Frogn,Akershus,"Osloveien 27, 1440 DRØBAK",35,59.6636304,10.6346533
Bjoa skule,Vindagjord ,Rogaland,,,59.663972,5.646495
Rustad skole,Ås,Akershus,"Drottveien 20, 1430 ÅS",422,59.6660352,10.8099829
Drøbak skole,Frogn,Akershus,"Rådhusveien 5, 1440 DRØBAK",35,59.667198,10.6358913
Dyrløkkeåsen skole,Frogn,Akershus,"Hegreveien 12, 1440 DRØBAK",76,59.6674019,10.6567682
Vestsiden ungdomsskole,Kongsberg,Buskerud,"Boecks Gate 7, 3616 KONGSBERG",183,59.6677641,9.6442377
Seiersten ungdomsskole,Frogn,Akershus,"Belsjøveien 1, 1440 DRØBAK",269,59.6682661,10.6372383
Madsebakken skole,Kongsberg,Buskerud,"Kongsbakken 6, 3612 KONGSBERG",105,59.6687514,9.6752348
Nordbytun ungdomsskole,Ås,Akershus,"Emily Kirkeruds Vei 6, 1407 VINTERBRO",422,59.6701226,10.8011182
Ås ungdomsskole,Ås,Akershus,"Mellomveien 4, 1430 ÅS",422,59.6701226,10.8011182
Grytnes ungdomsskole,Hurum,Buskerud,"Stikkvannsveien 4, 3475 SÆTRE",168,59.6704601,10.5362528
Sætre skole,Hurum,Buskerud,"Søndre Sætrevei 1, 3475 SÆTRE",29,59.6755626,10.5390437
Kongsberg International School,Kongsberg,Buskerud,"Dyrmyrgate 39, 3611 KONGSBERG",6,59.6758987,9.6429169
Raumyr skole,Kongsberg,Buskerud,"Raumyrveien 18, 3613 KONGSBERG",108,59.6760186,9.6549766
Kråkstad skole,Ski,Akershus,"Kråkstadveien 134, 1408 KRÅKSTAD",26,59.6773648,10.8847662
Heer skole,Frogn,Akershus,"Skanseveien 26, 1445 HEER",269,59.6832615,10.6635955
Skavanger skole,Kongsberg,Buskerud,"Dyrgravveien 5, 3617 KONGSBERG",160,59.6834017,9.6271469
Tangen skole,Svelvik,Vestfold,"Isdamveien 2, 3060 SVELVIK",111,59.6838726,10.3566229
Steinerskolen i Ås,Ås,Akershus,"Haugerudveien 25, 1430 ÅS",9,59.6839113,10.8045043
Skoger skole,Drammen,Buskerud,"Gundesølina 10, 3039 DRAMMEN",356,59.6847732,10.2502721
Gransherad skole,Notodden,Telemark,"3691, GRANSHERAD  ",,59.6878856,9.0307038
Vestbygda skole,Drammen,Buskerud,"Jordbrekkveien 3, 3039 DRAMMEN",322,59.6960202,10.1647691
Darbu barneskole,Øvre Eiker,Buskerud,"Kongsbergveien 692, 3322 DARBU",6,59.6996191,9.8011001
Moster skule,Bømlo,Hordaland,"5440, MOSTERHAMN  ",30,59.7015473,5.3799767
Foldrøy skule,Bømlo,Hordaland,"Foldrøyhamn, 5428 FOLDRØYHAMN",9,59.7015473,5.3799767
Rømskog skole,Rømskog,Østfold,"1950, RØMSKOG  ",4,59.7039495,11.8005738
Jondalen skole,Kongsberg,Buskerud,"Jondalsveien 470, 3614 KONGSBERG",9,59.7051345,9.6011503
Frydenlund barneskole,Røyken,Buskerud,"Astrid Skares Vei 72, 3474 ÅROS",104,59.7066879,10.5030987
Båstad skole,Trøgstad,Østfold,"Båstadveien 500, 1866 BÅSTAD",73,59.712293,11.2935782
Åskollen skole,Drammen,Buskerud,"Tverrliggeren 10, 3038 DRAMMEN",356,59.7132395,10.2594263
Finstad skole,Ski,Akershus,"Markveien 24, 1406 SKI",,59.7151221,10.8199073
Svensedammen skole,Drammen,Buskerud,"Torsbergveien 9, 3032 DRAMMEN",356,59.7159645,10.1498827
Hyggen barneskole,Røyken,Buskerud,"Bakkekroken 8, 3442 HYGGEN",210,59.7160675,10.3729586
Galterud skole,Drammen,Buskerud,"Solsvingen 80, 3034 DRAMMEN",91,59.7175308,10.2182938
Solberg skole,Ås,Akershus,"Mjølnerveien 4, 1400 SKI",422,59.7185517,10.792681
Ski ungdomsskole,Ski,Akershus,"Skoleveien 3, 1400 SKI",504,59.7200813,10.8419685
Fjell skole,Drammen,Buskerud,"Lauritz Hervigs Vei 20, 3035 DRAMMEN",314,59.7207457,10.2241439
Konnerud skole,Drammen,Buskerud,"Malmveien 19, 3031 DRAMMEN",462,59.7209095,10.1330839
Ski skole,Ski,Akershus,"Kirkeveien 21, 1400 SKI",504,59.7211499,10.8414143
Ytre Enebakk skole,Enebakk,Akershus,"Tomterveien 11, 1914 YTRE ENEBAKK",29,59.7212495,11.0553986
Bråte skole,Aurskog-Høland,Akershus,"Bygdetunveien 2, 1970 HEMNES",403,59.7213068,11.4549155
Rauland skule,Vinje,Telemark,"Rauland, 3864 RAULAND",,59.7228943,8.1305799
Mjær ungdomsskole,Enebakk,Akershus,"Lillestrømveien 31, 1914 YTRE ENEBAKK",95,59.7240424,11.0602946
Hebekk skole,Ski,Akershus,"Sørjordet 7, 1400 SKI",24,59.7243682,10.831632
Nordby skole,Ås,Akershus,"Askehaugveien 110, 1407 VINTERBRO",40,59.7245192,10.761788
Hallermoen skole,Drammen,Buskerud,"Vargveien 15, 3030 DRAMMEN",29,59.7281659,10.1478673
Vestfossen ungdomsskole,Øvre Eiker,Buskerud,"Fossgata, 3320 VESTFOSSEN",68,59.7281821,9.8651841
Brandengen skole,Drammen,Buskerud,"Iver Holters Gate 48, 3041 DRAMMEN",57,59.7291662,10.2230399
Vestfossen barneskole,Øvre Eiker,Buskerud,"Skolegata, 3320 VESTFOSSEN",49,59.7318831,9.8700421
Skånevik skule,Etne,Hordaland,"5593, SKÅNEVIK  ",96,59.732728,5.9332059
Åsen skole,Nedre Eiker,Buskerud,"Ragnar Raanaas Vei 22, 3050 MJØNDALEN",233,59.7328201,10.0221769
Danvik skole,Drammen,Buskerud,"Danvikbakken 2, 3046 DRAMMEN",356,59.7349866,10.1934609
Bakkeløkka ungdomsskole,Nesodden,Akershus,"Skogåsveien 26, 1454 FAGERSTRAND",62,59.7360165,10.5982261
Strømsø skole,Drammen,Buskerud,"Telthusgata 8, 3044 DRAMMEN",356,59.7364276,10.2082583
Røyken ungdomsskole,Røyken,Buskerud,"Nils Slottos Vei 3, 3440 RØYKEN",210,59.738352,10.4023571
Slemmestad ungdomsskole,Røyken,Buskerud,"Skolebakken 7, 3470 SLEMMESTAD",210,59.738352,10.4023571
Spikkestad ungdomsskole,Røyken,Buskerud,"Ovnerudveien 1, 3430 SPIKKESTAD",210,59.738352,10.4023571
Edland skule,Vinje,Telemark,"Edland, 3895 EDLAND",,59.7401261,7.6014713
Sjøskogen skole,Ås,Akershus,"Vinterbromyra 4, 1407 VINTERBRO",26,59.7402089,10.7722017
Våge skule,Bømlo,Hordaland,"Våge Nordre, 5437 FINNÅS",99,59.7404038,5.2310215
Gulskogen skole,Drammen,Buskerud,"Vintergata 8, 3048 DRAMMEN",356,59.7414638,10.1660101
Spikkestad barneskole,Røyken,Buskerud,"Kunnskapsveien 46, 3430 SPIKKESTAD",268,59.7435265,10.3337671
Midtbygda barneskole,Røyken,Buskerud,"Spikkestadveien 21, 3440 RØYKEN",443,59.7441924,10.413907
Rødskog skole,Drammen,Buskerud,"Rødskoggata 7, 3048 DRAMMEN",145,59.7451391,10.1592654
Dal skole,Frogn,Akershus,"Nesoddveien 207, 1455 NORDRE FROGN",6,59.7453758,10.6966802
Myklerud skole,Nesodden,Akershus,"Myklerudveien 140, 1454 FAGERSTRAND",111,59.7466463,10.6120945
Langhus skole,Ski,Akershus,"Bøhlerveien 4, 1405 LANGHUS",61,59.7467839,10.8392422
Veiavangen ungdomsskole,Nedre Eiker,Buskerud,"Løkkeveien 2, 3050 MJØNDALEN",115,59.7472505,9.9984466
Mjøndalen skole,Nedre Eiker,Buskerud,"Stadiongata 2, 3050 MJØNDALEN",38,59.7475854,10.0106043
Hauge Oppvekstsenter - Avdeling skule,Kvinnherad,Hordaland,"5457, HØYLANDSBYGD  ",,59.7481982,5.7932485
Bragernes skole,Drammen,Buskerud,"Lammers Gate 40, 3014 DRAMMEN",295,59.7487836,10.2253849
Børresen skole,Drammen,Buskerud,"Hauges Gate 100, 3019 DRAMMEN",356,59.7491387,10.1887807
Rosendal skole Adventistsamfunnets Grunnskoler,Nedre Eiker,Buskerud,"Fjerdingen 3, 3050 MJØNDALEN",2,59.749303,10.0248131
Gullaug skole,Lier,Buskerud,"Linnesstranda 69, 3400 LIER",41,59.7506795,10.2829352
Åssiden skole,Drammen,Buskerud,"Vårveien 3, 3024 DRAMMEN",50,59.7511186,10.1456151
Øren skole,Drammen,Buskerud,"Hotvetveien 100, 3023 DRAMMEN",434,59.7513996,10.1686045
Nærsnes barneskole,Røyken,Buskerud,"Sokkabekkveien 7, 3478 NÆRSNES",268,59.7548169,10.5032657
Tuddal skule,Hjartdal,Telemark,"Tuddal, 3697 TUDDAL",,59.7552642,8.7883039
Ormåsen barneskole,Øvre Eiker,Buskerud,"Bjørnefaret 5, 3320 VESTFOSSEN",20,59.7554214,9.8238009
Kjøsterud skole,Drammen,Buskerud,"Betzy Kjelsbergs Vei 182, 3028 DRAMMEN",300,59.7561238,10.1312168
Eknes ungdomsskole,Nedre Eiker,Buskerud,"Gamle Riksvei 246, 3055 KROKSTADELVA",70,59.7563513,10.0242416
Vevelstadåsen skole,Ski,Akershus,"Vevelstadåsen 30, 1405 LANGHUS",32,59.757973,10.8470485
Krokstad skole,Nedre Eiker,Buskerud,"Skoleveien 5, 3055 KROKSTADELVA",10,59.758489,9.9990781
Steinberg skole,Nedre Eiker,Buskerud,"Tunveien 2, 3053 STEINBERG",29,59.7589964,9.9714961
Høvik skole,Lier,Buskerud,"Jensvollveien 42, 3400 LIER",45,59.7592143,10.2390555
Stoppen skole,Lier,Buskerud,"Jensvollveien 38, 3400 LIER",225,59.7592895,10.2401893
Sydskogen barneskole,Røyken,Buskerud,"Odins Vei 69, 3472 BØDALEN",33,59.7595766,10.4516371
Stenseth skole,Nedre Eiker,Buskerud,"Neptunveien 5, 3055 KROKSTADELVA",27,59.7600944,10.0342686
Sagstedbrua skole,Nedre Eiker,Buskerud,"Lysakerveien 18, 3055 KROKSTADELVA",10,59.7610636,9.9979439
Aronsløkka skole,Drammen,Buskerud,"Roligheten 3, 3029 DRAMMEN",356,59.7623474,10.1308221
Killingrud ungdomsskole,Nedre Eiker,Buskerud,"Killingrudalleen 12, 3057 SOLBERGELVA",242,59.7632276,10.0787778
Solberg skole,Nedre Eiker,Buskerud,"Gamle Riksvei 57, 3057 SOLBERGELVA",34,59.7633867,10.0782203
Haugjordet ungdomsskole,Ski,Akershus,"Vevelstadveien 25, 1405 LANGHUS",156,59.7634945,10.8429916
Torvbråten barneskole,Røyken,Buskerud,"Skogveien 16, 3470 SLEMMESTAD",268,59.7638389,10.4775368
Bøleråsen skole,Ski,Akershus,"Bølerkollen 2, 1405 LANGHUS",28,59.7647496,10.8561532
Kirkebygden skole,Enebakk,Akershus,"Lotterudveien 9 B, 1912 ENEBAKK",61,59.765427,11.1480839
Enebakk ungdomsskole,Enebakk,Akershus,"Lotterudveien 4, 1912 ENEBAKK",40,59.765535,11.1487347
Langeland skule,Stord,Hordaland,"Langelandsvegen 65, 5412 STORD",602,59.7678589,5.4747446
Tårnåsen skole,Oppegård,Akershus,"Gjallarveien 25, 1413 TÅRNÅSEN",53,59.7681022,10.8111554
Greverud skole,Oppegård,Akershus,"Skiveien 202, 1415 OPPEGÅRD",225,59.7681022,10.8111554
Hellerasten skole,Oppegård,Akershus,"Hareveien 42, 1413 TÅRNÅSEN",63,59.7681022,10.8111554
Flåtestad skole,Oppegård,Akershus,"Harriet Backers Vei 15, 1415 OPPEGÅRD",216,59.76997,10.8042997
Røren barneskole,Øvre Eiker,Buskerud,"Læreveien 10, 3300 HOKKSUND",36,59.7702472,9.8799546
Tjødnalio skule,Stord,Hordaland,"Sætravikvegen 1, 5410 SAGVÅG",602,59.7706004,5.4073727
Hokksund ungdomsskole,Øvre Eiker,Buskerud,"Rådhusgata 2, 3300 HOKKSUND",289,59.7716255,9.9078197
Stord ungdomsskule,Stord,Hordaland,"Vikahaugen, 5411 STORD",602,59.7754736,5.489798
Hokksund barneskole,Øvre Eiker,Buskerud,"Østre Brugate 14, 3300 HOKKSUND",289,59.776263,9.9151124
Leirvik skule,Stord,Hordaland,"Vikabrekko 51, 5411 STORD",44,59.7782081,5.4952985
Slemmestad barneskole,Røyken,Buskerud,"Boligveien 18 B, 3470 SLEMMESTAD",268,59.7796052,10.48933
Sagvåg skule,Stord,Hordaland,"Fitjarvegen 120, 5410 SAGVÅG",602,59.7822916,5.3781721
Hegg skole,Lier,Buskerud,"Heggveien 4, 3400 LIER",191,59.7823089,10.2465615
Østli skole,Oppegård,Akershus,"Marens Vei 9, 1415 OPPEGÅRD",32,59.7827425,10.8046314
Nysæter ungdomsskule,Stord,Hordaland,"Utslettevegen 60, 5410 SAGVÅG",602,59.7843638,5.3974185
Hovedgården ungdomsskole,Asker,Akershus,"Heggedalsbakken 11, 1389 HEGGEDAL",,59.785318,10.4377695
Litlabø skule,Stord,Hordaland,"Gruvevegen 40, 5415 STORD",5,59.7871343,5.4487046
Siggerud skole,Ski,Akershus,"Gamle Siggerudvei 5, 1404 SIGGERUD",198,59.7902169,10.8891053
Lierbyen skole,Lier,Buskerud,"Stokkeveien 2, 3400 LIER",227,59.7911334,10.2636244
Heggedal skole,Asker,Akershus,"Skoleveien 10, 1389 HEGGEDAL",26,59.7922504,10.4443917
Meling skule,Bømlo,Hordaland,"Meling, 5430 BREMNES",13,59.7935182,5.1732346
Bremnes ungdomsskule,Bømlo,Hordaland,"Bremnes, 5430 BREMNES",51,59.7935182,5.1732346
Øyatun skule,Kvinnherad,Hordaland,"Sentrum Nord, 5454 SÆBØVIK",29,59.7947267,5.7116014
Tofte Oppvekstsenter,Kvinnherad,Hordaland,"5454, SÆBØVIK  ",,59.7947267,5.7116014
Sætre Oppvekstsenter - Avdeling skule,Kvinnherad,Hordaland,"5463, USKEDALEN  ",,59.7947267,5.7116014
Hystad skule,Stord,Hordaland,"Håvåsen, 5416 STORD",49,59.7950313,5.5140316
Gilje skule,Bømlo,Hordaland,"Gilje, 5430 BREMNES",81,59.7953033,5.1878837
Fjellstrand skole,Nesodden,Akershus,"Persilengveien 5, 1458 FJELLSTRAND",8,59.7959233,10.6233328
Sofiemyrtoppen skole avd Fløysbonn,Oppegård,Akershus,"Holbergs Vei 39, 1412 SOFIEMYR",216,59.7966934,10.8133765
Løken skole,Aurskog-Høland,Akershus,"Nedre Tallakvei 2, 1960 LØKEN",119,59.7972492,11.4645455
Sofiemyrtoppen skole avd Sofiemyr,Oppegård,Akershus,"Holbergs Vei 37, 1412 SOFIEMYR",216,59.7976536,10.8137913
Vollen ungdomsskole,Asker,Akershus,"Håkavikveien 45, 1390 VOLLEN",246,59.7997505,10.4886788
Arnestad skole,Asker,Akershus,"Håkavikveien 49, 1390 VOLLEN",467,59.7998402,10.489436
Solberg skole,Asker,Akershus,"Heggedalsveien 99, 1385 ASKER",427,59.8053262,10.393908
Stiftelsen Vollen Montessoriskole,Asker,Akershus,"Vollenveien 34, 1390 VOLLEN",176,59.8059559,10.4772874
Hallingstad skole,Lier,Buskerud,"Tranby Torg 1, 3408 TRANBY",258,59.8110745,10.2694529
Tranby skole,Lier,Buskerud,"Tranby Torg 3, 3408 TRANBY",126,59.8110831,10.2691038
Vassbonn skole,Oppegård,Akershus,"Christian Sindings Vei 55, 1410 KOLBOTN",413,59.8110934,10.7859198
Ingieråsen skole,Oppegård,Akershus,"Rikard Nordraaks Vei 5, 1410 KOLBOTN",47,59.8114406,10.7938093
Blakstad skole,Asker,Akershus,"Gudolf Blakstads Vei 67, 1386 ASKER",600,59.8120614,10.4546163
